,opposing negotiators,nurse and patient,man wife and man mistress,parent and infant,a person and their crush,volunteer and organizer,doctor and patient,prostitute and customer,distant relatives,landlord and tenant,ancestor and descendant,representative and citizen,a person and their deceased spouse,television host and guest,guest and host,neighbors,dealer and buyer,friends,judge and lawyer,officer and soldier,teammates in sports,patient and caretaker,frenemies,enemies,slave and master,therapist and patient,godparent and godchild,step parent and step child,wife and husband,romantic rivals,romantic lovers,brothers in arms,driver and passenger,employer and employee,university student and administrator,athletic trainer and trainee,native and tourist,co workers,bride and bridesmaid,alumni,sports rivals,classmates,psychologist and client,reader and writer,aunt and niece/nephew,guard and prisoner,criminal and police officer,church members,friends with benefits,parent and child,predecessor and successor,defendant and plaintiff,roommates,mentor and mentee,customer and businessman,superior and subordinate,victim and witness,leader and follower,bride and groom,union leader and union member,foster parent and foster child,police officer and civilian,political opponents,teacher and student,politician and supporter,siblings,second cousins,manager and staff,drug dealer and addict,team captain and team members,life partners,soul mates,close friends,salesperson and customer,competitors in sports,boss and secretary,bully and victim,director and performer,confidants,playmates,uncle and niece/nephew,step grandparent and step grandchild,guide and tourist,fiance and fiancee,criminal and prosecutor,long distance lovers,fraternity brothers,chief and deputy,adoptive parents and adopted kids,master and servant,a person and their family friends,owner and manager,groom and groomsman,strangers,a monarch and their minister,step siblings,business rivals,interviewer and job applicant,student and dorm resident assistant,manager and assistant,a person and their significant other,ex lovers,chef and customer,professor and teaching assistant,grandparent and grandchild,business partners,peers,twins,performer and audience,celebrity and fans,cohabitants,pen friends,judge and contestant,casual acquaintances,diplomats,facebook friends,club member and club president,victim and criminal,man and his mistress,sugar daddy and sugar baby,companions,criminal and hostage,fans of opposing sports teams,reviewer and writer,close relatives,lawyer and client,athlete and referee,consultant and client,researcher and research subject,coach and athlete,criminal and their accomplice,babysitter and infant,religious followers,mother and infant,childhood friends,man and god,divorced spouses,half siblings,parole officer and parolee,landlord and housekeeper,a person and their social media follower,parent and teenager,entrepreneur and investor,professor and graduate student,sorority sisters,doctor and nurse,intern and employee,cousins,brother and sister,political allies,supervisor and subordinate,religious leader and congregant,fans of the same sports team,principal and teacher,celebrity and haters,a person and their in laws,police officer and offender,customer and server,foreman and laborer
parent and teenager,0.6673004753849591,0.084501382358541,0.084501382358547,0.0,0.301753606038221,0.6673004753849576,0.08450138235854601,0.08450138235854601,0.10669232683831402,0.6673004753849556,0.10669232683831402,0.039800073763367964,0.10669232683831402,0.039800073763367964,0.301753606038221,0.301753606038221,0.08450138235854601,0.301753606038221,0.6673004753849576,0.6673004753849556,0.301753606038221,0.08450138235854601,0.301753606038221,0.6673004753849563,0.6673004753849563,0.08450138235854601,0.10669232683831402,0.10669232683831402,0.08450138235854601,0.08450138235854601,0.08450138235854601,0.6673004753849563,0.08450138235854601,0.6673004753849563,0.6673004753849576,0.6673004753849576,0.6673004753849563,0.301753606038221,0.301753606038221,0.039800073763367964,0.301753606038221,0.301753606038221,0.08450138235854601,0.039800073763367964,0.10669232683831402,0.6673004753849563,0.6673004753849563,0.301753606038221,0.08450138235854601,0.0,0.6673004753849576,0.6673004753849563,0.301753606038221,0.6673004753849576,0.08450138235854601,0.6673004753849576,0.039800073763367964,0.6673004753849576,0.08450138235854601,0.6673004753849576,0.10669232683831402,0.6673004753849563,0.6673004753849576,0.6673004753849576,0.6673004753849576,0.0,0.10669232683831402,0.6673004753849563,0.6673004753849563,0.6673004753849576,0.08450138235854601,0.08450138235854601,0.08450138235854601,0.08450138235854601,0.301753606038221,0.6673004753849563,0.6673004753849563,0.6673004753849576,0.08450138235854601,0.10669232683831402,0.10669232683831402,0.0,0.08450138235854601,0.08450138235854601,0.6673004753849563,0.08450138235854601,0.301753606038221,0.6673004753849576,0.10669232683831402,0.6673004753849563,0.301753606038221,0.6673004753849563,0.301753606038221,0.039800073763367964,0.6673004753849563,0.10669232683831402,0.6673004753849576,0.6673004753849576,0.6673004753849576,0.6673004753849563,0.08450138235854601,0.301753606038221,0.08450138235854499,0.6673004753849576,0.10669232683831402,0.6673004753849576,0.301753606038221,0.0,0.039800073763367964,0.039800073763367964,0.301753606038221,0.10669232683831402,0.039800073763367964,0.301753606038221,0.6673004753849576,0.039800073763367964,0.301753606038221,0.6673004753849556,0.084501382358547,0.084501382358547,0.084501382358547,0.6673004753849556,0.039800073763367964,0.6673004753849576,0.0,0.08450138235854499,0.6673004753849576,0.08450138235854499,0.08450138235854499,0.6673004753849576,0.6673004753849576,0.08450138235854499,0.6673004753849556,0.0,0.10669232683831402,0.6673004753849556,0.08450138235854601,0.10669232683831402,0.6673004753849556,0.6673004753849556,0.039800073763367964,0.0,0.6673004753849576,0.6673004753849576,0.301753606038221,0.6673004753849576,0.6673004753849556,0.10669232683831402,0.0,0.6673004753849576,0.6673004753849556,0.6673004753849556,0.039800073763367964,0.6673004753849576,0.039800073763367964,0.10669232683831402,0.6673004753849556,0.08450138235854499,0.6673004753849556
entrepreneur and investor,0.0,0.7260271806190859,0.7260271806190945,0.6673004753849568,0.8961276553795117,0.0,0.7260271806190933,0.7260271806190933,0.7422744179424475,0.999999999999999,0.7422744179424475,0.6942986135166865,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.0,0.999999999999999,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.999999999999999,0.999999999999999,0.7260271806190933,0.7422744179424475,0.7422744179424475,0.7260271806190935,0.7260271806190935,0.7260271806190937,0.999999999999999,0.7260271806190933,0.999999999999999,0.0,0.0,0.999999999999999,0.8961276553795117,0.8961276553795117,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190932,0.6942986135166864,0.7422744179424475,0.999999999999999,0.999999999999999,0.8961276553795117,0.7260271806190937,0.6673004753849576,0.0,0.999999999999999,0.8961276553795117,0.0,0.7260271806190931,0.0,0.6942986135166865,0.0,0.7260271806190935,0.0,0.7422744179424475,0.999999999999999,0.0,0.0,0.0,0.6673004753849575,0.7422744179424475,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7260271806190935,0.7260271806190935,0.7260271806190931,0.8961276553795117,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7422744179424475,0.7422744179424475,0.6673004753849576,0.7260271806190931,0.7260271806190935,0.999999999999999,0.7260271806190935,0.8961276553795117,0.0,0.7422744179424475,0.999999999999999,0.8961276553795116,0.999999999999999,0.8961276553795117,0.6942986135166865,0.999999999999999,0.7422744179424475,0.0,0.0,0.0,0.999999999999999,0.7260271806190935,0.8961276553795117,0.7260271806190923,0.0,0.7422744179424475,0.0,0.8961276553795117,0.6673004753849576,0.6942986135166865,0.6942986135166865,0.8961276553795117,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.0,0.6942986135166865,0.8961276553795117,0.999999999999999,0.7260271806190943,0.7260271806190942,0.7260271806190942,0.999999999999999,0.6942986135166865,0.0,0.6673004753849576,0.7260271806190923,0.0,0.7260271806190923,0.7260271806190923,0.0,0.0,0.7260271806190923,0.999999999999999,0.6673004753849576,0.7422744179424475,0.999999999999999,0.7260271806190935,0.7422744179424475,0.999999999999999,0.999999999999999,0.6942986135166865,0.6673004753849576,0.0,0.0,0.8961276553795117,0.0,0.999999999999999,0.7422744179424475,0.6673004753849576,0.0,0.999999999999999,0.999999999999999,0.6942986135166865,0.0,0.6942986135166865,0.7422744179424475,0.999999999999999,0.7260271806190923,0.999999999999999
professor and graduate student,0.0,0.7260271806190859,0.7260271806190945,0.6673004753849568,0.8961276553795117,0.0,0.7260271806190933,0.7260271806190933,0.7422744179424475,0.999999999999999,0.7422744179424475,0.6942986135166865,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.0,0.999999999999999,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.999999999999999,0.999999999999999,0.7260271806190933,0.7422744179424475,0.7422744179424475,0.7260271806190935,0.7260271806190935,0.7260271806190937,0.999999999999999,0.7260271806190933,0.999999999999999,0.0,0.0,0.999999999999999,0.8961276553795117,0.8961276553795117,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190932,0.6942986135166864,0.7422744179424475,0.999999999999999,0.999999999999999,0.8961276553795117,0.7260271806190937,0.6673004753849576,0.0,0.999999999999999,0.8961276553795117,0.0,0.7260271806190931,0.0,0.6942986135166865,0.0,0.7260271806190935,0.0,0.7422744179424475,0.999999999999999,0.0,0.0,0.0,0.6673004753849575,0.7422744179424475,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7260271806190935,0.7260271806190935,0.7260271806190931,0.8961276553795117,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7422744179424475,0.7422744179424475,0.6673004753849576,0.7260271806190931,0.7260271806190935,0.999999999999999,0.7260271806190935,0.8961276553795117,0.0,0.7422744179424475,0.999999999999999,0.8961276553795116,0.999999999999999,0.8961276553795117,0.6942986135166865,0.999999999999999,0.7422744179424475,0.0,0.0,0.0,0.999999999999999,0.7260271806190935,0.8961276553795117,0.7260271806190923,0.0,0.7422744179424475,0.0,0.8961276553795117,0.6673004753849576,0.6942986135166865,0.6942986135166865,0.8961276553795117,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.0,0.6942986135166865,0.8961276553795117,0.999999999999999,0.7260271806190943,0.7260271806190942,0.7260271806190942,0.999999999999999,0.6942986135166865,0.0,0.6673004753849576,0.7260271806190923,0.0,0.7260271806190923,0.7260271806190923,0.0,0.0,0.7260271806190923,0.999999999999999,0.6673004753849576,0.7422744179424475,0.999999999999999,0.7260271806190935,0.7422744179424475,0.999999999999999,0.999999999999999,0.6942986135166865,0.6673004753849576,0.0,0.0,0.8961276553795117,0.0,0.999999999999999,0.7422744179424475,0.6673004753849576,0.0,0.999999999999999,0.999999999999999,0.6942986135166865,0.0,0.6942986135166865,0.7422744179424475,0.999999999999999,0.7260271806190923,0.999999999999999
sorority sisters,0.896127655379513,0.21725222367967997,0.21725222367967398,0.30175360603822293,0.0,0.8961276553795117,0.217252223679675,0.217252223679675,0.19506127919990704,0.8961276553795124,0.19506127919990704,0.261953532274853,0.19506127919990704,0.261953532274853,0.0,0.0,0.217252223679675,0.0,0.8961276553795117,0.8961276553795124,0.0,0.217252223679675,0.0,0.8961276553795131,0.8961276553795131,0.217252223679675,0.19506127919990704,0.19506127919990704,0.217252223679675,0.217252223679675,0.217252223679675,0.8961276553795131,0.217252223679675,0.8961276553795131,0.8961276553795117,0.8961276553795117,0.8961276553795131,0.0,0.0,0.261953532274853,0.0,0.0,0.217252223679675,0.261953532274853,0.19506127919990704,0.8961276553795131,0.8961276553795131,0.0,0.217252223679675,0.301753606038221,0.8961276553795117,0.8961276553795131,0.0,0.8961276553795117,0.217252223679675,0.8961276553795117,0.261953532274853,0.8961276553795117,0.217252223679675,0.8961276553795117,0.19506127919990704,0.8961276553795131,0.8961276553795117,0.8961276553795117,0.8961276553795117,0.3017536060382211,0.19506127919990704,0.8961276553795131,0.8961276553795131,0.8961276553795117,0.217252223679675,0.217252223679675,0.217252223679675,0.217252223679675,0.0,0.8961276553795131,0.8961276553795131,0.8961276553795117,0.217252223679675,0.19506127919990704,0.19506127919990704,0.301753606038221,0.217252223679675,0.217252223679675,0.8961276553795131,0.217252223679675,0.0,0.8961276553795117,0.19506127919990704,0.8961276553795131,0.0,0.8961276553795131,0.0,0.261953532274853,0.8961276553795131,0.19506127919990704,0.8961276553795117,0.8961276553795117,0.8961276553795117,0.8961276553795131,0.217252223679675,0.0,0.217252223679676,0.8961276553795117,0.19506127919990704,0.8961276553795117,0.0,0.301753606038221,0.261953532274853,0.261953532274853,0.0,0.19506127919990704,0.261953532274853,0.0,0.8961276553795117,0.261953532274853,0.0,0.8961276553795124,0.21725222367967398,0.21725222367967398,0.21725222367967398,0.8961276553795124,0.261953532274853,0.8961276553795117,0.301753606038221,0.217252223679676,0.8961276553795117,0.217252223679676,0.217252223679676,0.8961276553795117,0.8961276553795117,0.217252223679676,0.8961276553795124,0.301753606038221,0.19506127919990704,0.8961276553795124,0.217252223679675,0.19506127919990704,0.8961276553795124,0.8961276553795124,0.261953532274853,0.301753606038221,0.8961276553795117,0.8961276553795117,0.0,0.8961276553795117,0.8961276553795124,0.19506127919990704,0.301753606038221,0.8961276553795117,0.8961276553795124,0.8961276553795124,0.261953532274853,0.8961276553795117,0.261953532274853,0.19506127919990704,0.8961276553795124,0.217252223679676,0.8961276553795124
doctor and nurse,0.0,0.7260271806190859,0.7260271806190945,0.6673004753849568,0.8961276553795117,0.0,0.7260271806190933,0.7260271806190933,0.7422744179424475,0.999999999999999,0.7422744179424475,0.6942986135166865,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.0,0.999999999999999,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.999999999999999,0.999999999999999,0.7260271806190933,0.7422744179424475,0.7422744179424475,0.7260271806190935,0.7260271806190935,0.7260271806190937,0.999999999999999,0.7260271806190933,0.999999999999999,0.0,0.0,0.999999999999999,0.8961276553795117,0.8961276553795117,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190932,0.6942986135166864,0.7422744179424475,0.999999999999999,0.999999999999999,0.8961276553795117,0.7260271806190937,0.6673004753849576,0.0,0.999999999999999,0.8961276553795117,0.0,0.7260271806190931,0.0,0.6942986135166865,0.0,0.7260271806190935,0.0,0.7422744179424475,0.999999999999999,0.0,0.0,0.0,0.6673004753849575,0.7422744179424475,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7260271806190935,0.7260271806190935,0.7260271806190931,0.8961276553795117,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7422744179424475,0.7422744179424475,0.6673004753849576,0.7260271806190931,0.7260271806190935,0.999999999999999,0.7260271806190935,0.8961276553795117,0.0,0.7422744179424475,0.999999999999999,0.8961276553795116,0.999999999999999,0.8961276553795117,0.6942986135166865,0.999999999999999,0.7422744179424475,0.0,0.0,0.0,0.999999999999999,0.7260271806190935,0.8961276553795117,0.7260271806190923,0.0,0.7422744179424475,0.0,0.8961276553795117,0.6673004753849576,0.6942986135166865,0.6942986135166865,0.8961276553795117,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.0,0.6942986135166865,0.8961276553795117,0.999999999999999,0.7260271806190943,0.7260271806190942,0.7260271806190942,0.999999999999999,0.6942986135166865,0.0,0.6673004753849576,0.7260271806190923,0.0,0.7260271806190923,0.7260271806190923,0.0,0.0,0.7260271806190923,0.999999999999999,0.6673004753849576,0.7422744179424475,0.999999999999999,0.7260271806190935,0.7422744179424475,0.999999999999999,0.999999999999999,0.6942986135166865,0.6673004753849576,0.0,0.0,0.8961276553795117,0.0,0.999999999999999,0.7422744179424475,0.6673004753849576,0.0,0.999999999999999,0.999999999999999,0.6942986135166865,0.0,0.6942986135166865,0.7422744179424475,0.999999999999999,0.7260271806190923,0.999999999999999
intern and employee,1.0,0.726027180619092,0.7260271806190921,0.6673004753849539,0.8961276553795123,0.999999999999999,0.7260271806190919,0.7260271806190919,0.7422744179424462,0.0,0.7422744179424462,0.6942986135166845,0.7422744179424462,0.6942986135166845,0.8961276553795123,0.8961276553795124,0.7260271806190919,0.8961276553795124,0.999999999999999,0.0,0.8961276553795124,0.7260271806190919,0.8961276553795124,0.0,0.0,0.7260271806190919,0.7422744179424462,0.7422744179424462,0.7260271806190916,0.7260271806190916,0.7260271806190916,0.0,0.7260271806190919,0.0,0.999999999999999,0.999999999999999,0.0,0.8961276553795124,0.8961276553795124,0.6942986135166845,0.8961276553795124,0.8961276553795124,0.726027180619092,0.6942986135166845,0.7422744179424462,0.0,0.0,0.8961276553795124,0.7260271806190916,0.6673004753849556,0.999999999999999,0.0,0.8961276553795123,0.999999999999999,0.726027180619092,0.999999999999999,0.6942986135166845,0.999999999999999,0.7260271806190916,0.999999999999999,0.7422744179424462,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.6673004753849555,0.7422744179424462,0.0,0.0,0.999999999999999,0.7260271806190916,0.7260271806190916,0.7260271806190916,0.7260271806190921,0.8961276553795124,0.0,0.0,0.999999999999999,0.7260271806190916,0.7422744179424462,0.7422744179424462,0.6673004753849556,0.7260271806190921,0.7260271806190916,0.0,0.7260271806190916,0.8961276553795124,0.999999999999999,0.7422744179424462,0.0,0.8961276553795124,0.0,0.8961276553795124,0.6942986135166845,0.0,0.7422744179424462,0.999999999999999,0.999999999999999,0.999999999999999,0.0,0.7260271806190917,0.8961276553795124,0.7260271806190913,0.999999999999999,0.7422744179424462,0.999999999999999,0.8961276553795124,0.6673004753849556,0.6942986135166845,0.6942986135166845,0.8961276553795123,0.7422744179424462,0.6942986135166845,0.8961276553795124,0.999999999999999,0.6942986135166845,0.8961276553795124,0.0,0.7260271806190923,0.7260271806190923,0.7260271806190923,0.0,0.6942986135166845,0.999999999999999,0.6673004753849556,0.7260271806190913,0.999999999999999,0.7260271806190913,0.7260271806190913,0.999999999999999,0.999999999999999,0.7260271806190913,0.0,0.6673004753849556,0.7422744179424462,0.0,0.7260271806190916,0.7422744179424462,0.0,0.0,0.6942986135166845,0.6673004753849556,0.999999999999999,0.999999999999999,0.8961276553795124,0.999999999999999,0.0,0.7422744179424462,0.6673004753849556,0.999999999999999,0.0,0.0,0.6942986135166845,0.999999999999999,0.6942986135166845,0.7422744179424462,0.0,0.7260271806190916,0.0
cousins,0.742274417942449,0.02219094447977293,0.022190944479766987,0.1066923268383159,0.19506127919990707,0.7422744179424475,0.022190944479767924,0.022190944479767924,0.0,0.7422744179424462,0.0,0.06689225307494599,0.0,0.06689225307494599,0.19506127919990707,0.19506127919990707,0.022190944479767924,0.19506127919990707,0.7422744179424475,0.7422744179424462,0.19506127919990707,0.022190944479767924,0.19506127919990707,0.7422744179424469,0.7422744179424469,0.022190944479767924,0.0,0.0,0.022190944479767924,0.022190944479767924,0.022190944479767924,0.7422744179424469,0.022190944479767924,0.7422744179424469,0.7422744179424475,0.7422744179424475,0.7422744179424469,0.19506127919990707,0.19506127919990707,0.06689225307494599,0.19506127919990707,0.19506127919990707,0.022190944479767924,0.06689225307494599,0.0,0.7422744179424469,0.7422744179424469,0.19506127919990707,0.022190944479767924,0.10669232683831402,0.7422744179424475,0.7422744179424469,0.19506127919990707,0.7422744179424475,0.022190944479767924,0.7422744179424475,0.06689225307494599,0.7422744179424475,0.022190944479767924,0.7422744179424475,0.0,0.7422744179424469,0.7422744179424475,0.7422744179424475,0.7422744179424475,0.1066923268383141,0.0,0.7422744179424469,0.7422744179424469,0.7422744179424475,0.022190944479767924,0.022190944479767924,0.022190944479767924,0.022190944479767924,0.19506127919990707,0.7422744179424469,0.7422744179424469,0.7422744179424475,0.022190944479767924,0.0,0.0,0.10669232683831402,0.022190944479767924,0.022190944479767924,0.7422744179424469,0.022190944479767924,0.19506127919990707,0.7422744179424475,0.0,0.7422744179424469,0.19506127919990707,0.7422744179424469,0.19506127919990707,0.06689225307494599,0.7422744179424469,0.0,0.7422744179424475,0.7422744179424475,0.7422744179424475,0.7422744179424469,0.022190944479767924,0.19506127919990707,0.02219094447976902,0.7422744179424475,0.0,0.7422744179424475,0.19506127919990707,0.10669232683831402,0.06689225307494599,0.06689225307494599,0.19506127919990707,0.0,0.06689225307494599,0.19506127919990707,0.7422744179424475,0.06689225307494599,0.19506127919990707,0.7422744179424462,0.022190944479766987,0.022190944479766987,0.022190944479766987,0.7422744179424462,0.06689225307494599,0.7422744179424475,0.10669232683831402,0.02219094447976902,0.7422744179424475,0.02219094447976902,0.02219094447976902,0.7422744179424475,0.7422744179424475,0.02219094447976902,0.7422744179424462,0.10669232683831402,0.0,0.7422744179424462,0.022190944479767924,0.0,0.7422744179424462,0.7422744179424462,0.06689225307494599,0.10669232683831402,0.7422744179424475,0.7422744179424475,0.19506127919990707,0.7422744179424475,0.7422744179424462,0.0,0.10669232683831402,0.7422744179424475,0.7422744179424462,0.7422744179424462,0.06689225307494599,0.7422744179424475,0.06689225307494599,0.0,0.7422744179424462,0.02219094447976902,0.7422744179424462
brother and sister,0.6673004753849591,0.084501382358541,0.084501382358547,0.0,0.301753606038221,0.6673004753849576,0.08450138235854601,0.08450138235854601,0.10669232683831402,0.6673004753849556,0.10669232683831402,0.039800073763367964,0.10669232683831402,0.039800073763367964,0.301753606038221,0.301753606038221,0.08450138235854601,0.301753606038221,0.6673004753849576,0.6673004753849556,0.301753606038221,0.08450138235854601,0.301753606038221,0.6673004753849563,0.6673004753849563,0.08450138235854601,0.10669232683831402,0.10669232683831402,0.08450138235854601,0.08450138235854601,0.08450138235854601,0.6673004753849563,0.08450138235854601,0.6673004753849563,0.6673004753849576,0.6673004753849576,0.6673004753849563,0.301753606038221,0.301753606038221,0.039800073763367964,0.301753606038221,0.301753606038221,0.08450138235854601,0.039800073763367964,0.10669232683831402,0.6673004753849563,0.6673004753849563,0.301753606038221,0.08450138235854601,0.0,0.6673004753849576,0.6673004753849563,0.301753606038221,0.6673004753849576,0.08450138235854601,0.6673004753849576,0.039800073763367964,0.6673004753849576,0.08450138235854601,0.6673004753849576,0.10669232683831402,0.6673004753849563,0.6673004753849576,0.6673004753849576,0.6673004753849576,0.0,0.10669232683831402,0.6673004753849563,0.6673004753849563,0.6673004753849576,0.08450138235854601,0.08450138235854601,0.08450138235854601,0.08450138235854601,0.301753606038221,0.6673004753849563,0.6673004753849563,0.6673004753849576,0.08450138235854601,0.10669232683831402,0.10669232683831402,0.0,0.08450138235854601,0.08450138235854601,0.6673004753849563,0.08450138235854601,0.301753606038221,0.6673004753849576,0.10669232683831402,0.6673004753849563,0.301753606038221,0.6673004753849563,0.301753606038221,0.039800073763367964,0.6673004753849563,0.10669232683831402,0.6673004753849576,0.6673004753849576,0.6673004753849576,0.6673004753849563,0.08450138235854601,0.301753606038221,0.08450138235854499,0.6673004753849576,0.10669232683831402,0.6673004753849576,0.301753606038221,0.0,0.039800073763367964,0.039800073763367964,0.301753606038221,0.10669232683831402,0.039800073763367964,0.301753606038221,0.6673004753849576,0.039800073763367964,0.301753606038221,0.6673004753849556,0.084501382358547,0.084501382358547,0.084501382358547,0.6673004753849556,0.039800073763367964,0.6673004753849576,0.0,0.08450138235854499,0.6673004753849576,0.08450138235854499,0.08450138235854499,0.6673004753849576,0.6673004753849576,0.08450138235854499,0.6673004753849556,0.0,0.10669232683831402,0.6673004753849556,0.08450138235854601,0.10669232683831402,0.6673004753849556,0.6673004753849556,0.039800073763367964,0.0,0.6673004753849576,0.6673004753849576,0.301753606038221,0.6673004753849576,0.6673004753849556,0.10669232683831402,0.0,0.6673004753849576,0.6673004753849556,0.6673004753849556,0.039800073763367964,0.6673004753849576,0.039800073763367964,0.10669232683831402,0.6673004753849556,0.08450138235854499,0.6673004753849556
political allies,0.0,0.7260271806190859,0.7260271806190945,0.6673004753849568,0.8961276553795117,0.0,0.7260271806190933,0.7260271806190933,0.7422744179424475,0.999999999999999,0.7422744179424475,0.6942986135166865,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.0,0.999999999999999,0.8961276553795117,0.7260271806190933,0.8961276553795117,0.999999999999999,0.999999999999999,0.7260271806190933,0.7422744179424475,0.7422744179424475,0.7260271806190935,0.7260271806190935,0.7260271806190937,0.999999999999999,0.7260271806190933,0.999999999999999,0.0,0.0,0.999999999999999,0.8961276553795117,0.8961276553795117,0.6942986135166865,0.8961276553795117,0.8961276553795117,0.7260271806190932,0.6942986135166864,0.7422744179424475,0.999999999999999,0.999999999999999,0.8961276553795117,0.7260271806190937,0.6673004753849576,0.0,0.999999999999999,0.8961276553795117,0.0,0.7260271806190931,0.0,0.6942986135166865,0.0,0.7260271806190935,0.0,0.7422744179424475,0.999999999999999,0.0,0.0,0.0,0.6673004753849575,0.7422744179424475,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7260271806190935,0.7260271806190935,0.7260271806190931,0.8961276553795117,0.999999999999999,0.999999999999999,0.0,0.7260271806190935,0.7422744179424475,0.7422744179424475,0.6673004753849576,0.7260271806190931,0.7260271806190935,0.999999999999999,0.7260271806190935,0.8961276553795117,0.0,0.7422744179424475,0.999999999999999,0.8961276553795116,0.999999999999999,0.8961276553795117,0.6942986135166865,0.999999999999999,0.7422744179424475,0.0,0.0,0.0,0.999999999999999,0.7260271806190935,0.8961276553795117,0.7260271806190923,0.0,0.7422744179424475,0.0,0.8961276553795117,0.6673004753849576,0.6942986135166865,0.6942986135166865,0.8961276553795117,0.7422744179424475,0.6942986135166865,0.8961276553795117,0.0,0.6942986135166865,0.8961276553795117,0.999999999999999,0.7260271806190943,0.7260271806190942,0.7260271806190942,0.999999999999999,0.6942986135166865,0.0,0.6673004753849576,0.7260271806190923,0.0,0.7260271806190923,0.7260271806190923,0.0,0.0,0.7260271806190923,0.999999999999999,0.6673004753849576,0.7422744179424475,0.999999999999999,0.7260271806190935,0.7422744179424475,0.999999999999999,0.999999999999999,0.6942986135166865,0.6673004753849576,0.0,0.0,0.8961276553795117,0.0,0.999999999999999,0.7422744179424475,0.6673004753849576,0.0,0.999999999999999,0.999999999999999,0.6942986135166865,0.0,0.6942986135166865,0.7422744179424475,0.999999999999999,0.7260271806190923,0.999999999999999
supervisor and subordinate,1.0,0.726027180619092,0.7260271806190921,0.6673004753849539,0.8961276553795123,0.999999999999999,0.7260271806190919,0.7260271806190919,0.7422744179424462,0.0,0.7422744179424462,0.6942986135166845,0.7422744179424462,0.6942986135166845,0.8961276553795123,0.8961276553795124,0.7260271806190919,0.8961276553795124,0.999999999999999,0.0,0.8961276553795124,0.7260271806190919,0.8961276553795124,0.0,0.0,0.7260271806190919,0.7422744179424462,0.7422744179424462,0.7260271806190916,0.7260271806190916,0.7260271806190916,0.0,0.7260271806190919,0.0,0.999999999999999,0.999999999999999,0.0,0.8961276553795124,0.8961276553795124,0.6942986135166845,0.8961276553795124,0.8961276553795124,0.726027180619092,0.6942986135166845,0.7422744179424462,0.0,0.0,0.8961276553795124,0.7260271806190916,0.6673004753849556,0.999999999999999,0.0,0.8961276553795123,0.999999999999999,0.726027180619092,0.999999999999999,0.6942986135166845,0.999999999999999,0.7260271806190916,0.999999999999999,0.7422744179424462,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.6673004753849555,0.7422744179424462,0.0,0.0,0.999999999999999,0.7260271806190916,0.7260271806190916,0.7260271806190916,0.7260271806190921,0.8961276553795124,0.0,0.0,0.999999999999999,0.7260271806190916,0.7422744179424462,0.7422744179424462,0.6673004753849556,0.7260271806190921,0.7260271806190916,0.0,0.7260271806190916,0.8961276553795124,0.999999999999999,0.7422744179424462,0.0,0.8961276553795124,0.0,0.8961276553795124,0.6942986135166845,0.0,0.7422744179424462,0.999999999999999,0.999999999999999,0.999999999999999,0.0,0.7260271806190916,0.8961276553795124,0.7260271806190913,0.999999999999999,0.7422744179424462,0.999999999999999,0.8961276553795124,0.6673004753849556,0.6942986135166845,0.6942986135166845,0.8961276553795124,0.7422744179424462,0.6942986135166845,0.8961276553795124,0.999999999999999,0.6942986135166845,0.8961276553795124,0.0,0.7260271806190923,0.7260271806190923,0.7260271806190923,0.0,0.6942986135166845,0.999999999999999,0.6673004753849556,0.7260271806190913,0.999999999999999,0.7260271806190913,0.7260271806190913,0.999999999999999,0.999999999999999,0.7260271806190913,0.0,0.6673004753849556,0.7422744179424462,0.0,0.7260271806190916,0.7422744179424462,0.0,0.0,0.6942986135166845,0.6673004753849556,0.999999999999999,0.999999999999999,0.8961276553795124,0.999999999999999,0.0,0.7422744179424462,0.6673004753849556,0.999999999999999,0.0,0.0,0.6942986135166845,0.999999999999999,0.6942986135166845,0.7422744179424462,0.0,0.7260271806190916,0.0
